Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
159,5,Sep 24 1988,Sat,(12) Clemson,30,@,Georgia Tech,13,
160,5,Sep 24 1988,Sat,Colorado,28,,Oregon State,21,
161,5,Sep 24 1988,Sat,Duke,38,,Virginia,34,
162,5,Sep 24 1988,Sat,(20) Florida,17,,Mississippi State,0,
163,5,Sep 24 1988,Sat,(9) Florida State,30,,Michigan State,7,
164,5,Sep 24 1988,Sat,Fresno State,49,,McNeese State,0,
165,5,Sep 24 1988,Sat,Hawaii,48,@,Utah,20,
166,5,Sep 24 1988,Sat,Indiana,28,@,Missouri,28,
167,5,Sep 24 1988,Sat,Iowa,10,,Iowa State,3,
168,5,Sep 24 1988,Sat,Kentucky,38,,Kent State,14,
169,5,Sep 24 1988,Sat,Louisiana,41,,Rice,16,
170,5,Sep 24 1988,Sat,Louisiana Tech,31,,Nicholls State,10,
171,5,Sep 24 1988,Sat,Louisville,38,@,North Carolina,34,
172,5,Sep 24 1988,Sat,Maryland,30,,North Carolina State,26,
173,5,Sep 24 1988,Sat,(1) Miami (FL),23,,Wisconsin,3,
174,5,Sep 24 1988,Sat,(19) Michigan,19,,Wake Forest,9,
175,5,Sep 24 1988,Sat,Minnesota,31,,Northern Illinois,20,
176,5,Sep 24 1988,Sat,(10) Nebraska,47,,Arizona State,16,
177,5,Sep 24 1988,Sat,Nevada-Las Vegas,26,,Ohio,18,
178,5,Sep 24 1988,Sat,(8) Notre Dame,52,,Purdue,7,
179,5,Sep 24 1988,Sat,Ohio State,36,,(7) Louisiana State,33,
180,5,Sep 24 1988,Sat,(18) Oklahoma State,52,,Texas A&M,15,
181,5,Sep 24 1988,Sat,Oregon,7,,Stanford,3,
182,5,Sep 24 1988,Sat,Rutgers,21,@,(15) Penn State,16,
183,5,Sep 24 1988,Sat,(14) South Carolina,23,,(6) Georgia,10,
184,5,Sep 24 1988,Sat,(5) Southern California,23,,(3) Oklahoma,7,
185,5,Sep 24 1988,Sat,Southern Mississippi,45,@,East Carolina,42,
186,5,Sep 24 1988,Sat,Syracuse,35,,Virginia Tech,0,
187,5,Sep 24 1988,Sat,Texas,27,,North Texas,24,
188,5,Sep 24 1988,Sat,Texas Christian,31,,Boston College,17,
189,5,Sep 24 1988,Sat,Texas Tech,36,,Baylor,6,
190,5,Sep 24 1988,Sat,Texas-El Paso,27,@,Tulsa,24,
191,5,Sep 24 1988,Sat,Toledo,34,,Bowling Green,5,
192,5,Sep 24 1988,Sat,Tulane,20,,Memphis,19,
193,5,Sep 24 1988,Sat,Utah State,32,,New Mexico State,20,
194,5,Sep 24 1988,Sat,(17) Washington,35,,San Jose State,31,
195,5,Sep 24 1988,Sat,(11) West Virginia,31,@,(16) Pittsburgh,10,
196,5,Sep 24 1988,Sat,Wyoming,48,@,Air Force,45,
197,6,Sep 30 1988,Fri,Brigham Young,38,,Utah State,3,
198,6,Oct 1 1988,Sat,Air Force,63,,New Mexico,14,
199,6,Oct 1 1988,Sat,Akron,33,@,Youngstown State,7,
200,6,Oct 1 1988,Sat,(12) Alabama,31,@,Kentucky,27,
201,6,Oct 1 1988,Sat,Arizona State,24,,Lamar,13,
202,6,Oct 1 1988,Sat,Arkansas,53,,Texas Christian,10,
203,6,Oct 1 1988,Sat,Army,58,,Bucknell,10,
204,6,Oct 1 1988,Sat,(4) Auburn,47,,North Carolina,21,
205,6,Oct 1 1988,Sat,Ball State,45,,Miami (OH),14,
206,6,Oct 1 1988,Sat,Boston College,34,,Pittsburgh,31,
207,6,Oct 1 1988,Sat,California,21,,San Jose State,14,
208,6,Oct 1 1988,Sat,Central Michigan,31,,Kent State,7,
209,6,Oct 1 1988,Sat,Colorado,27,@,Colorado State,23,
210,6,Oct 1 1988,Sat,Duke,17,@,Vanderbilt,15,
211,6,Oct 1 1988,Sat,(17) Florida,19,,(14) Louisiana State,6,
212,6,Oct 1 1988,Sat,(6) Florida State,48,@,Tulane,28,
213,6,Oct 1 1988,Sat,(15) Georgia,36,,Mississippi,12,
214,6,Oct 1 1988,Sat,Houston,27,@,Baylor,24,
215,6,Oct 1 1988,Sat,Illinois,31,@,Ohio State,12,
216,6,Oct 1 1988,Sat,Indiana,48,@,Northwestern,17,
217,6,Oct 1 1988,Sat,Iowa,10,@,Michigan State,10,
218,6,Oct 1 1988,Sat,Louisiana,48,@,East Carolina,36,
219,6,Oct 1 1988,Sat,Louisiana Tech,31,@,Kansas State,28,
220,6,Oct 1 1988,Sat,Memphis,31,,Mississippi State,10,
221,6,Oct 1 1988,Sat,(1) Miami (FL),55,,Missouri,0,
222,6,Oct 1 1988,Sat,(19) Michigan,62,@,Wisconsin,14,
223,6,Oct 1 1988,Sat,Navy,41,,Yale,7,
224,6,Oct 1 1988,Sat,(9) Nebraska,48,,Nevada-Las Vegas,6,
225,6,Oct 1 1988,Sat,New Mexico State,42,@,Kansas,29,
226,6,Oct 1 1988,Sat,North Carolina State,14,@,Georgia Tech,6,
227,6,Oct 1 1988,Sat,Northern Illinois,17,,Missouri State,3,
228,6,Oct 1 1988,Sat,(5) Notre Dame,42,,Stanford,14,
229,6,Oct 1 1988,Sat,Ohio,24,,Toledo,14,
230,6,Oct 1 1988,Sat,(10) Oklahoma,35,,Iowa State,7,
231,6,Oct 1 1988,Sat,(13) Oklahoma State,56,,Tulsa,35,
232,6,Oct 1 1988,Sat,(20) Oregon,34,@,San Diego State,13,
233,6,Oct 1 1988,Sat,Oregon State,21,,Fresno State,10,
234,6,Oct 1 1988,Sat,Pacific,22,@,Long Beach State,10,
235,6,Oct 1 1988,Sat,Penn State,45,@,Temple,9,
236,6,Oct 1 1988,Sat,Purdue,14,,Minnesota,10,
237,6,Oct 1 1988,Sat,Rutgers,38,,Cincinnati,9,
238,6,Oct 1 1988,Sat,(8) South Carolina,35,,Appalachian State,9,
239,6,Oct 1 1988,Sat,(3) Southern California,38,@,Arizona,15,
240,6,Oct 1 1988,Sat,Southern Mississippi,30,,Louisville,23,
241,6,Oct 1 1988,Sat,Syracuse,20,,Maryland,9,
242,6,Oct 1 1988,Sat,Texas,20,@,Rice,13,
243,6,Oct 1 1988,Sat,Texas A&M,50,,Texas Tech,15,
244,6,Oct 1 1988,Sat,Texas-El Paso,38,,Utah,28,
245,6,Oct 1 1988,Sat,(2) UCLA,24,@,(16) Washington,17,
246,6,Oct 1 1988,Sat,Washington State,52,@,Tennessee,24,
247,6,Oct 1 1988,Sat,(7) West Virginia,22,@,Virginia Tech,10,
248,6,Oct 1 1988,Sat,Western Michigan,37,,Bowling Green,10,
249,6,Oct 1 1988,Sat,(18) Wyoming,35,,Cal State Fullerton,16,
250,7,Oct 8 1988,Sat,Air Force,34,,Navy,24,
251,7,Oct 8 1988,Sat,(20) Arkansas,31,,Texas Tech,10,
252,7,Oct 8 1988,Sat,Arkansas State,13,@,Akron,12,
253,7,Oct 8 1988,Sat,Army,33,@,Yale,18,
254,7,Oct 8 1988,Sat,Ball State,31,@,Kent State,20,
255,7,Oct 8 1988,Sat,Baylor,45,,Texas State,7,
256,7,Oct 8 1988,Sat,Bowling Green,42,,Ohio,0,
257,7,Oct 8 1988,Sat,Brigham Young,42,,Colorado State,7,
258,7,Oct 8 1988,Sat,Central Michigan,20,@,Eastern Michigan,6,
259,7,Oct 8 1988,Sat,(11) Clemson,10,@,Virginia,7,
260,7,Oct 8 1988,Sat,(6) Florida State,28,,Georgia Southern,10,
261,7,Oct 8 1988,Sat,Fresno State,23,@,Cal State Fullerton,10,
262,7,Oct 8 1988,Sat,(15) Georgia,41,,Vanderbilt,22,
263,7,Oct 8 1988,Sat,Illinois,20,,Purdue,0,
264,7,Oct 8 1988,Sat,Indiana,41,,Ohio State,7,
265,7,Oct 8 1988,Sat,Iowa,31,,Wisconsin,6,
266,7,Oct 8 1988,Sat,Iowa State,20,,Northern Iowa,17,
267,7,Oct 8 1988,Sat,Louisiana State,7,,(4) Auburn,6,
268,7,Oct 8 1988,Sat,Louisiana Tech,19,,Louisiana,16,
269,7,Oct 8 1988,Sat,Louisville,9,,Tulsa,3,
270,7,Oct 8 1988,Sat,Maryland,13,,Georgia Tech,8,
271,7,Oct 8 1988,Sat,Memphis,17,@,(14) Florida,11,
272,7,Oct 8 1988,Sat,(17) Michigan,17,,Michigan State,3,
273,7,Oct 8 1988,Sat,Mississippi,22,@,(12) Alabama,12,
274,7,Oct 8 1988,Sat,Missouri,52,@,Kansas State,21,
275,7,Oct 8 1988,Sat,(9) Nebraska,63,@,Kansas,10,
276,7,Oct 8 1988,Sat,Nevada-Las Vegas,30,@,Pacific,16,
277,7,Oct 8 1988,Sat,North Carolina State,49,,East Tennessee State,0,
278,7,Oct 8 1988,Sat,Northwestern,28,@,Minnesota,28,
279,7,Oct 8 1988,Sat,(5) Notre Dame,30,@,Pittsburgh,20,
280,7,Oct 8 1988,Sat,(10) Oklahoma,28,N,Texas,13,
281,7,Oct 8 1988,Sat,(13) Oklahoma State,41,@,Colorado,21,
282,7,Oct 8 1988,Sat,Penn State,35,,Cincinnati,9,
283,7,Oct 8 1988,Sat,(8) South Carolina,26,@,Virginia Tech,24,
284,7,Oct 8 1988,Sat,(3) Southern California,42,,(18) Oregon,14,
285,7,Oct 8 1988,Sat,Southern Mississippi,38,@,Tulane,13,
286,7,Oct 8 1988,Sat,Stanford,44,,San Jose State,12,
287,7,Oct 8 1988,Sat,Syracuse,34,,Rutgers,20,
288,7,Oct 8 1988,Sat,Texas A&M,30,@,Houston,16,
289,7,Oct 8 1988,Sat,Texas Christian,21,,Rice,10,
290,7,Oct 8 1988,Sat,Texas-El Paso,42,@,Hawaii,25,
291,7,Oct 8 1988,Sat,Toledo,33,,Northern Illinois,20,
292,7,Oct 8 1988,Sat,(2) UCLA,38,,Oregon State,21,
293,7,Oct 8 1988,Sat,Utah,33,@,New Mexico,27,
294,7,Oct 8 1988,Sat,Utah State,31,,Long Beach State,24,
295,7,Oct 8 1988,Sat,Wake Forest,42,,North Carolina,24,
296,7,Oct 8 1988,Sat,(19) Washington,10,@,Arizona State,0,
297,7,Oct 8 1988,Sat,Washington State,44,,California,13,
298,7,Oct 8 1988,Sat,(7) West Virginia,30,@,East Carolina,10,
299,7,Oct 8 1988,Sat,Western Michigan,41,@,Miami (OH),18,
300,7,Oct 8 1988,Sat,(16) Wyoming,55,@,San Diego State,27,
301,8,Oct 15 1988,Sat,Air Force,56,@,Utah,49,
302,8,Oct 15 1988,Sat,Alabama,28,@,Tennessee,20,
303,8,Oct 15 1988,Sat,Arizona,45,,Washington State,28,
304,8,Oct 15 1988,Sat,(17) Arkansas,27,@,Texas,24,
305,8,Oct 15 1988,Sat,Army,24,,Lafayette,17,
306,8,Oct 15 1988,Sat,(12) Auburn,42,,Akron,0,
307,8,Oct 15 1988,Sat,Brigham Young,31,,Texas Christian,18,
308,8,Oct 15 1988,Sat,Central Michigan,21,,Bowling Green,3,
309,8,Oct 15 1988,Sat,(11) Clemson,49,,Duke,17,
310,8,Oct 15 1988,Sat,Colorado,21,@,Kansas,9,
311,8,Oct 15 1988,Sat,Eastern Michigan,16,@,Ball State,12,
312,8,Oct 15 1988,Sat,(5) Florida State,45,,East Carolina,21,
313,8,Oct 15 1988,Sat,Fresno State,51,,Utah State,10,
314,8,Oct 15 1988,Sat,Georgia Tech,34,,(8) South Carolina,0,
315,8,Oct 15 1988,Sat,Hawaii,32,@,San Diego State,30,
316,8,Oct 15 1988,Sat,Houston,82,,Tulsa,28,
317,8,Oct 15 1988,Sat,Illinois,34,@,Wisconsin,6,
318,8,Oct 15 1988,Sat,(18) Indiana,33,,Minnesota,13,
319,8,Oct 15 1988,Sat,Iowa State,21,@,Missouri,3,
320,8,Oct 15 1988,Sat,Kent State,45,@,Western Michigan,28,
321,8,Oct 15 1988,Sat,Long Beach State,24,,Cal State Fullerton,22,
322,8,Oct 15 1988,Sat,Louisiana,45,,Northern Illinois,0,
323,8,Oct 15 1988,Sat,(19) Louisiana State,15,,Kentucky,12,
324,8,Oct 15 1988,Sat,Louisville,30,,Virginia,28,
325,8,Oct 15 1988,Sat,(15) Michigan,17,@,Iowa,17,
326,8,Oct 15 1988,Sat,Michigan State,36,,Northwestern,3,
327,8,Oct 15 1988,Sat,Mississippi,25,,Arkansas State,22,
328,8,Oct 15 1988,Sat,(7) Nebraska,63,,(10) Oklahoma State,42,
329,8,Oct 15 1988,Sat,Nevada-Las Vegas,28,,New Mexico State,20,
330,8,Oct 15 1988,Sat,North Carolina State,48,@,North Carolina,3,
331,8,Oct 15 1988,Sat,(4) Notre Dame,31,,(1) Miami (FL),30,
332,8,Oct 15 1988,Sat,Ohio,38,,Miami (OH),21,
333,8,Oct 15 1988,Sat,(9) Oklahoma,70,,Kansas State,24,
334,8,Oct 15 1988,Sat,Oregon,52,,Idaho State,7,
335,8,Oct 15 1988,Sat,Pittsburgh,42,,Temple,7,
336,8,Oct 15 1988,Sat,Purdue,31,@,Ohio State,26,
337,8,Oct 15 1988,Sat,Rutgers,17,@,Boston College,6,
338,8,Oct 15 1988,Sat,San Jose State,35,@,Pacific,17,
339,8,Oct 15 1988,Sat,(3) Southern California,28,,(16) Washington,27,
340,8,Oct 15 1988,Sat,Southern Mississippi,38,N,Mississippi State,21,
341,8,Oct 15 1988,Sat,Stanford,24,,Arizona State,3,
342,8,Oct 15 1988,Sat,Syracuse,24,@,Penn State,10,
343,8,Oct 15 1988,Sat,Texas A&M,28,,Baylor,14,
344,8,Oct 15 1988,Sat,Texas Tech,38,@,Rice,36,
345,8,Oct 15 1988,Sat,Texas-El Paso,34,,Colorado State,14,
346,8,Oct 15 1988,Sat,Toledo,38,,Austin Peay,14,
347,8,Oct 15 1988,Sat,(2) UCLA,38,@,California,21,
348,8,Oct 15 1988,Sat,Vanderbilt,24,,(20) Florida,9,
349,8,Oct 15 1988,Sat,Virginia Tech,41,@,Cincinnati,14,
350,8,Oct 15 1988,Sat,Wake Forest,27,@,Maryland,24,
351,8,Oct 15 1988,Sat,(14) Wyoming,55,,New Mexico,7,
352,9,Oct 22 1988,Sat,Akron,40,,Long Beach State,0,
353,9,Oct 22 1988,Sat,Alabama,8,,Penn State,3,
354,9,Oct 22 1988,Sat,Arizona State,31,@,Washington State,28,
355,9,Oct 22 1988,Sat,(13) Arkansas,26,@,Houston,21,
356,9,Oct 22 1988,Sat,Army,34,N,Rutgers,24,
357,9,Oct 22 1988,Sat,(10) Auburn,33,,Mississippi State,0,
358,9,Oct 22 1988,Sat,Ball State,27,@,Central Michigan,20,
359,9,Oct 22 1988,Sat,Bowling Green,20,,Youngstown State,16,
360,9,Oct 22 1988,Sat,Brigham Young,24,@,Hawaii,23,
361,9,Oct 22 1988,Sat,Cal State Fullerton,24,@,New Mexico State,3,
362,9,Oct 22 1988,Sat,California,31,,Temple,14,
363,9,Oct 22 1988,Sat,Colorado State,13,,San Diego State,7,
364,9,Oct 22 1988,Sat,(7) Florida State,66,,Louisiana Tech,3,
365,9,Oct 22 1988,Sat,Iowa,31,@,Purdue,7,
366,9,Oct 22 1988,Sat,Iowa State,42,,Kansas,14,
367,9,Oct 22 1988,Sat,Kentucky,16,,(11) Georgia,10,
368,9,Oct 22 1988,Sat,Louisville,38,@,Tulane,35,
369,9,Oct 22 1988,Sat,Maryland,34,@,Duke,24,
370,9,Oct 22 1988,Sat,(4) Miami (FL),57,,Cincinnati,3,
371,9,Oct 22 1988,Sat,(20) Michigan,31,,(14) Indiana,6,
372,9,Oct 22 1988,Sat,Michigan State,28,@,Illinois,21,
373,9,Oct 22 1988,Sat,Mississippi,36,@,Vanderbilt,28,
374,9,Oct 22 1988,Sat,(5) Nebraska,48,@,Kansas State,3,
375,9,Oct 22 1988,Sat,North Carolina,20,,Georgia Tech,17,
376,9,Oct 22 1988,Sat,North Carolina State,10,,(9) Clemson,3,
377,9,Oct 22 1988,Sat,Northern Illinois,10,@,Southern Illinois,9,
378,9,Oct 22 1988,Sat,Northwestern,35,,Wisconsin,14,
379,9,Oct 22 1988,Sat,(2) Notre Dame,41,,Air Force,13,
380,9,Oct 22 1988,Sat,Ohio,21,@,Kent State,14,
381,9,Oct 22 1988,Sat,Ohio State,13,@,Minnesota,6,
