TeamID,TeamName,Alias,Division,Conference,ConferenceAbbr,ShortName
252,"William & Mary",NULL,"FCS","Patriot League","Patriot","Wm & Mary"
253,"Wofford",NULL,"FCS","Southern Conference","SoCon","Wofford"
254,"Yale",NULL,"FCS","Ivy League","Ivy","Yale"
255,"Youngstown State",NULL,"FCS","Missouri Valley Football Conference","MVFC","Y'town St"
256,"Angelo State",NULL,"N/A","Non-DI (Lone Star)","N/A (D-II)","Angelo St"
257,"Augustana (South Dakota)",NULL,"N/A","Non-DI (NSIC)","N/A (D-II)","Augustana"
258,"Bishop",NULL,"N/A","Non-DI (various/NAIA)","N/A","Bishop"
259,"Boston University",NULL,"N/A","Patriot League (non-football)","Patriot","Boston U"
260,"Bradley",NULL,"N/A","Missouri Valley Conference (non-football)","MVC","Bradley"
261,"Cal Poly-Pomona",NULL,"N/A","Non-DI (CCAA)","N/A (D-II)","Cal Poly-P"
262,"Cal State Fullerton",NULL,"N/A","Big West Conference (non-football)","Big West","CS Fullrtn"
263,"Cal State Los Angeles",NULL,"N/A","Non-DI (CCAA)","N/A (D-II)","CS LA"
264,"Cal State Northridge",NULL,"N/A","Big West Conference (non-football)","Big West","CS Northrdg"
265,"California Lutheran",NULL,"N/A","Non-DI (SCIAC)","N/A (D-III)","Cal Luthern"
266,"California-Riverside",NULL,"N/A","Big West Conference (non-football)","Big West","UC Riverside"
267,"California-Santa Barbara",NULL,"N/A","Big West Conference (non-football)","Big West","UC Santa Bar"
268,"Camp Lejeune",NULL,"N/A","Non-DI (historical)","N/A","Camp Lejeune"
269,"Carson-Newman",NULL,"N/A","Non-DI (SAC)","N/A (D-II)","Carson-Newm"
270,"Central Missouri State",NULL,"N/A","Non-DI (MIAA)","N/A (D-II)","Cent Mo St"
271,"Central State",NULL,"N/A","Non-DI (SIAC)","N/A (D-II)","Central St"
272,"Delta State",NULL,"N/A","Non-DI (GSC)","N/A (D-II)","Delta State"
273,"Eastern New Mexico",NULL,"N/A","Non-DI (Lone Star)","N/A (D-II)","E New Mex"
274,"Edward Waters",NULL,"N/A","Non-DI (SIAC)","N/A (D-II/NAIA)","Edward Wat"
275,"Emporia State",NULL,"N/A","Non-DI (MIAA)","N/A (D-II)","Emporia St"
276,"Fort Hays State",NULL,"N/A","Non-DI (MIAA)","N/A (D-II)","Ft Hays St"
277,"Frederick",NULL,"N/A","Non-DI (historical)","N/A","Frederick"
278,"George Washington",NULL,"N/A","Atlantic 10 Conference (non-football)","A-10","Geo Wash"
279,"Gettysburg",NULL,"N/A","Non-DI (Centennial)","N/A (D-III)","Gettysburg"
280,"Grand Valley State",NULL,"N/A","Non-DI (GLIAC)","N/A (D-II)","Gr Valley"
281,"Guilford",NULL,"N/A","Non-DI (ODAC)","N/A (D-III)","Guilford"
282,"Hayward State",NULL,"N/A","Non-DI (historical)","N/A","Hayward St"
283,"Hofstra",NULL,"N/A","CAA (non-football primary)","CAA","Hofstra"
284,"Howard Payne",NULL,"N/A","Non-DI (ASC)","N/A (D-III)","Howard Payn"
285,"Humboldt State",NULL,"N/A","Non-DI (CCAA)","N/A (D-II)","Humboldt St"
286,"Langston",NULL,"N/A","Non-DI (SAC NAIA)","N/A (NAIA)","Langston"
287,"Lenoir-Rhyne",NULL,"N/A","Non-DI (SAC)","N/A (D-II)","Lenoir-Rhn"
288,"Lincoln",NULL,"N/A","Non-DI (various)","N/A (D-II)","Lincoln"
289,"Linfield",NULL,"N/A","Non-DI (NWC)","N/A (D-III)","Linfield"
290,"Long Beach State",NULL,"N/A","Big West Conference (non-football)","Big West","LB State"
291,"Mankato State",NULL,"N/A","Non-DI (NSIC)","N/A (D-II)","Mankato St"
292,"Mars Hill",NULL,"N/A","Non-DI (SAC)","N/A (D-II)","Mars Hill"
293,"Minnesota-Morris",NULL,"N/A","Non-DI (UMAC)","N/A (D-III)","Minn-Morris"
294,"Mississippi College",NULL,"N/A","Non-DI (GSC)","N/A (D-II)","Miss College"
295,"Missouri Southern",NULL,"N/A","Non-DI (MIAA)","N/A (D-II)","Mo Southern"
296,"Missouri-Rolla",NULL,"N/A","Non-DI (GLVC)","N/A (D-II)","Mo-Rolla"
297,"Moorhead State",NULL,"N/A","Non-DI (NSIC)","N/A (D-II)","Moorhead St"
298,"Nebraska-Omaha",NULL,"N/A","Non-DI (Summit non-football)","Summit","Neb-Omaha"
299,"New Mexico Highlands",NULL,"N/A","Non-DI (RMAC)","N/A (D-II)","NM Highland"
300,"Newberry",NULL,"N/A","Non-DI (SAC)","N/A (D-II)","Newberry"
301,"Northeastern",NULL,"N/A","CAA (non-football)","CAA","Northeastrn"
302,"Northern Michigan",NULL,"N/A","Non-DI (GLIAC)","N/A (D-II)","N Michigan"
303,"Northwestern Oklahoma State",NULL,"N/A","Non-DI (GAC)","N/A (NAIA)","NW Okla St"
304,"Ohio Wesleyan",NULL,"N/A","Non-DI (NCAC)","N/A (D-III)","Ohio Wesley"
305,"Pacific",NULL,"N/A","West Coast Conference (non-football)","WCC","Pacific"
306,"Parsons",NULL,"N/A","Non-DI (historical)","N/A","Parsons"
307,"Parsons (Iowa)",NULL,"N/A","Non-DI (historical)","N/A","Parsons IA"
308,"Pensacola NAS",NULL,"N/A","Non-DI (historical)","N/A","Pensacola"
309,"Quantico Marines",NULL,"N/A","Non-DI (historical)","N/A","Q Marines"
310,"Saint Mary's (CA)",NULL,"N/A","West Coast Conference (non-football)","WCC","St Mary's"
311,"San Francisco State",NULL,"N/A","Non-DI (CCAA)","N/A (D-II)","SF State"
312,"Santa Clara",NULL,"N/A","West Coast Conference (non-football)","WCC","Santa Clara"
313,"Savannah State",NULL,"N/A","Non-DI (historical)","N/A (D-II)","Savannah St"
314,"Sonoma State",NULL,"N/A","Non-DI (CCAA)","N/A (D-II)","Sonoma State"
315,"St. Cloud State",NULL,"N/A","Non-DI (NSIC)","N/A (D-II)","St Cloud St"
316,"St. Joseph's (Pennsylvania)",NULL,"N/A","Atlantic 10 Conference (non-football)","A-10","St Joseph's"
317,"Tampa",NULL,"N/A","Non-DI (SSC)","N/A (D-II)","Tampa"
318,"Texas A&M-Commerce",NULL,"N/A","Non-DI (Lone Star)","N/A (D-II)","TAMU-Comrce"
319,"Texas A&M-Kingsville",NULL,"N/A","Non-DI (Lone Star)","N/A (D-II)","TAMU-Kngsvl"
320,"Texas Lutheran",NULL,"N/A","Non-DI (SCAC)","N/A (D-III)","Tex Lutheran"
